name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Bird Mountain Loop,South Cascades -- Mount Adams Area,"10.25 miles, roundtrip",1875,5230,3.11,Mountain views|Dogs allowed on leash|Summits|Lakes|Established campsites,"No less than five picturesque lakes, wide panoramas of South Cascades peaks and oodles of seasonal wildflowers and berries make this an ideal long day hike or weekend backpack.",roundtrip,10.25,South Cascades
Big Gulch,Puget Sound and Islands -- Seattle-Tacoma Area,"2.6 miles, roundtrip",300,460,3.11,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage,Big Gulch includes a system of forested trails in Mukilteo.,roundtrip,2.6,Puget Sound and Islands
Big Cedar Tree - Quinault,Olympic Peninsula -- Olympia,"0.5 miles, roundtrip",80,100,4.00,Old growth|Good for kids,"There are many big trees in the Olympics, but this enormous cedar is so large it has a trail named after it. Plus, it's just a quarter mile from the road. Unfortunately, storms in 2016 felled the large tree, though it's no less impressive. When you visit, be sure to take only pictures -- the Park Service is leaving the giant there in order to perpetuate the natural cycle.",roundtrip,0.5,Olympic Peninsula
Big Tree Ridge,Issaquah Alps -- Cougar Mountain,"4.2 miles, roundtrip",1340,1430,3.20,Mountain views|Dogs allowed on leash|Good for kids|Ridges/passes,"This is the most direct entry to Cougar Mountain Regional Wildland Park from Seattle, Issaquah and Bellevue. WTA has done lots of work on Cougar Mountain since 2009, but signage may not be entirely up-to-date.",roundtrip,4.2,Issaquah Alps
Bogachiel River,Olympic Peninsula -- Pacific Coast,"12.0 miles, roundtrip",400,500,3.10,Dogs not allowed|Old growth|Wildlife|Established campsites|Rivers,"The Bogachiel River is a classic example of a lowland rainforest ecosystem, with a rough and tumble trail that extends all the way to the head of the valley. Born on lower mountains than the Hoh, Queets, and Quinault, it lacks the glacial coloration and tremendous flow associated with those valleys. What it makes up for is miles of solitude and adventure.",roundtrip,12,Olympic Peninsula
Blake Island State Park,Puget Sound and Islands -- Seattle-Tacoma Area,"8.0 miles, roundtrip",190,190,0.00,Mountain views|Wildlife|Established campsites|Old growth|Good for kids|Dogs allowed on leash|Fall foliage|Coast,"Originally home to the Suquamish Indian tribe and legendary for being the supposed birthplace of Chief Sealth, over the years Blake Island has also served as a timber source, a private estate, Army base, and even a smuggler’s refuge. It now may be best known for Tillicum Village, a Native American re-enactment retreat accessible via ferry from nearby Seattle.",roundtrip,8,Puget Sound and Islands
Big Tree Trail,Issaquah Alps -- Tiger Mountain,"1.0 miles, roundtrip",110,530,3.40,Dogs allowed on leash|Old growth|Good for kids|Wildlife|Fall foliage,"The Big Tree Trail is a short (0.5 mile) trail on Tiger Mountain's Tradition Plateau. It passes one of the largest Douglas firs still standing in the Tigers, and also passes a short section of some of the best true swamp you will find in the area, with lots of hanging moss and standing water.",roundtrip,1,Issaquah Alps
Blackbird Island - Waterfront Park,Central Cascades -- Leavenworth Area,"2.0 miles, roundtrip",100,1100,5.00,Dogs allowed on leash|Good for kids|Rivers,"Bird, salmon, history, and river lovers will enjoy this trail in a Leavenworth park",roundtrip,2,Central Cascades
Avalanche Mountain,Snoqualmie Region -- Snoqualmie Pass,"8.5 miles, roundtrip",3000,5400,0.00,Mountain views|Summits|Lakes,A winter scramble to the summit of a mountain in Snoqualmie Pass. Technical experience and equipment required.,roundtrip,8.5,Snoqualmie Region
Baldy Mountain,Central Cascades -- Entiat Mountains/Lake Chelan,"6.25 miles, roundtrip",2394,6412,0.00,Mountain views|Dogs allowed on leash|Summits|Lakes,Route finding expertise is necessary to successfully complete this hike.,roundtrip,6.25,Central Cascades
Bare Mountain,Snoqualmie Region -- North Bend Area,"8.6 miles, roundtrip",3300,5353,3.85,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Dogs allowed on leash|Summits|Lakes|Fall foliage,"Bare Mountain, the site of a former fire lookout, is a superb viewpoint with mountains in every direction and lakes close by. In season, appreciate the great variety of wildflowers, beginning at the trailhead and continuing all the way to the summit. And be alert for birds and wild critters. They are out there.",roundtrip,8.6,Snoqualmie Region
Augspurger Trail,Southwest Washington -- Columbia River Gorge - WA,"15.5 miles, roundtrip",4400,3000,2.75,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Rivers,"The Augspurger Mountain Trail offers a great loop option to the popular Dog Mountain Trail. The two trails share the same trailhead, but the Augspurger trail heads off to the west. The way is more gentle, and a 1.5 mile connector trail links the two together. Along the way, enjoy bouncy balsamroot blooms in May and fantastic views of the Columbia River Gorge, Mount Hood and more all year round.",roundtrip,15.5,Southwest Washington
Backbone Ridge,South Cascades -- White Pass/Cowlitz River Valley,"6.6 miles, roundtrip",1750,2900,2.50,Ridges/passes|Lakes|Established campsites,"This is a nice woods trail, but views don't reward the hiker until she or he arrives at Stevens Canyon Road in Mount Rainier National Park. Trail starts alongside a grassy rock slab and works its way to the top of the ridge.",roundtrip,6.6,South Cascades
Badger Peak,South Cascades -- Dark Divide,"7.5 miles, roundtrip",1700,5664,2.20,Wildflowers/Meadows|Mountain views|Wildlife|Old growth|Summits|Dogs allowed on leash,"If you can stand the bugs, this is a very pleasant, well-shaded hike with a very rewarding view at the top. It's a short hike, doable in a day for most hikers.",roundtrip,7.5,South Cascades
Bells Mountain,Southwest Washington -- Columbia River Gorge - WA,"15.4 miles, roundtrip",1100,1500,3.25,Mountain views|Summits,"The Bells Mountain trail is a non-motorized, multi-use trail constructed by the Chinook Trail Association (CTA) and managed by Department of Natural Resources (DNR). It is part of a 30-mile stretch of the Chinook Trail that was awarded National Recreation Trail Status in 2005.",roundtrip,15.4,Southwest Washington
Bedal Peak,North Cascades -- Mountain Loop Highway,"7.3 miles, roundtrip",4500,6554,4.00,Wildflowers/Meadows|Old growth|Summits,A scramble up a peak off the Mountain Loop Highway. Route finding gear and previous experience required.,roundtrip,7.3,North Cascades
Baker Preserve,Puget Sound and Islands -- Bellingham Area,"3.2 miles, roundtrip",1000,1050,4.33,Mountain views|Dogs not allowed,This trail climbs steeply to reach an overlook with views of the San Juan Islands and beyond.,roundtrip,3.2,Puget Sound and Islands
Beacon Rock State Park - Beacon Rock,Southwest Washington -- Columbia River Gorge - WA,"2.0 miles, roundtrip",600,848,3.07,Rivers,"Beacon Rock's native name is ""Che-Che-op-tin,"" which translates to ""the navel of the world."" Native Americans weren't far off in their comparison, since the 848-foot basalt column once formed the core, or belly, of an ancient volcano.",roundtrip,2,Southwest Washington
Asahel Curtis Nature Trail,Snoqualmie Region -- Snoqualmie Pass,"0.5 miles, roundtrip",180,2000,2.86,Old growth|Good for kids,"This short loop just off of Interstate 90 offers an easy escape to nature. With plenty to keep little ones occupied, and just enough mileage to give your legs a little workout, this is a delightful detour for anyone venturing west or east over Snoqualmie Pass.",roundtrip,0.5,Snoqualmie Region
Bearhead Mountain,Mount Rainier Area -- NW - Carbon River/Mowich,"6.0 miles, roundtrip",1800,6089,3.88,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes|Old growth|Summits,"Bearhead Mountain is a moderate, well-marked trail through the forest that carries you to an old fire lookout site with a bold and brassy Rainier view.",roundtrip,6,Mount Rainier Area
Bessemer Mountain,Snoqualmie Region -- North Bend Area,"13.0 miles, roundtrip",4100,5028,3.11,,"Not every hike is pristine or an easy trek, and Bessemer fits this definition. This trail is almost completely a logging road, much of which is still active. If you are still reading, let me say it is not without its charms. The forest is recovering, views of the Snoqualmie region are fantastic, and due to its low elevation it is accessible virtually year-round.",roundtrip,13,Snoqualmie Region
Bear Creek Mountain,South Cascades -- Goat Rocks,"7.0 miles, roundtrip",1237,7337,3.50,Wildflowers/Meadows|Mountain views|Summits,"This short hike offers access to a stunning Goat Rocks summit, but you'll work for it. With more than 1000 feet of elevation gain in the last 0.9 mile push to the top, you'll be gasping for breath...and that's before the view renders you speechless.",roundtrip,7,South Cascades
Battle Ground Lake State Park - Lower Lake Trail,Southwest Washington -- Lewis River Region,"1.0 miles, roundtrip",120,680,4.50,Wildflowers/Meadows|Dogs allowed on leash|Good for kids|Lakes|Established campsites,"Battle Ground Lake State Park is a local favorite, particularly good for families with its short loop around the lake and the playground.",roundtrip,1,Southwest Washington
Beaver Lake Preserve,Issaquah Alps,"1.2 miles, roundtrip",50,460,3.11,Wildflowers/Meadows|Wildlife|Old growth|Good for kids|Dogs allowed on leash|Fall foliage,"Hike a 1.2 mile loop trail through this forest preserve. Appreciate the exceptionally tall trees, both deciduous and coniferous. Pass some swampy areas with standing water, and note the exuberant growth of ferns and hanging moss.",roundtrip,1.2,Issaquah Alps
Anderson Lake State Park,Olympic Peninsula -- Hood Canal,8.0 miles of trails,80,320,2.00,Wildflowers/Meadows|Wildlife|Dogs allowed on leash|Old growth|Good for kids|Lakes,"There are ten trails circling Anderson Lake, just eight miles south of Port Townsend. Bring the kids, the dog, your mountain bike, and even your horse, and mix and match the trails to your heart’s content to explore a little over eight miles of multiuse serene and shady forest trails.",trails,8,Olympic Peninsula
Annette Lake,Snoqualmie Region -- Snoqualmie Pass,"7.5 miles, roundtrip",1800,3600,3.82,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Lakes|Rivers,"Waterfalls, wildflowers, sheltering forests, mountain views and an alpine lake are offered on this well-maintained trail. At the lake, enjoy the sights and relax for a while. If you backpacked in, stay at the campsites for a sunrise and sunset on the lake.",roundtrip,7.5,Snoqualmie Region
American Ridge,Mount Rainier Area -- Chinook Pass - Hwy 410,"12.0 miles, one-way",2950,6310,3.60,Mountain views|Dogs allowed on leash|Established campsites|Ridges/passes|Lakes|Rivers,"A steep and dusty trail to a long, beautiful ridge where the rambling is fine, often among a band of elk.",one-way,24,Mount Rainier Area
Ape Canyon,South Cascades -- Mount St. Helens,"11.0 miles, roundtrip",1400,2800,3.43,Wildflowers/Meadows|Mountain views|Old growth|Dogs not allowed|Wildlife,Climb through dense old-growth forest to a barren cinder plateau that bursts with wildflowers and unobstructed views.,roundtrip,11,South Cascades
Angry Mountain,South Cascades -- Goat Rocks,"16.8 miles, roundtrip",3409,6049,3.25,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits|Ridges/passes,"Looking for adventure and solitude? Angry Mountain is the destination for you, though trail conditions may make put you in the mood the mountain is named for. It's a steep, challenging climb from Forest Road 21, but the payoff comes miles later, when you finally gain the ridge crest separating two glaciated valleys.",roundtrip,16.8,South Cascades
Antoine Peak Conservation Area,Eastern Washington -- Spokane Area/Coeur d'Alene,"9.0 miles, roundtrip",732,3366,5.00,Wildflowers/Meadows|Mountain views|Wildlife|Summits|Good for kids|Dogs allowed on leash|Fall foliage,"Acquired in three phases through Spokane County’s Conservation Futures Program, with additional funding secured through the Washington State Recreation and Conservation Office, the Antoine Peak Conservation Area offers fantastic views overlooking Liberty Lake, the Spokane Valley, and north to Mount Spokane and the Selkirk Range. The trail system of old roadbeds on this 1,066-acre parcel boasts over nine miles of total trail length.",roundtrip,9,Eastern Washington
Ape Caves,South Cascades -- Mount St. Helens,"2.8 miles, roundtrip",350,2450,4.54,Dogs not allowed,"The full experience at Ape Cave includes the easy exploration of a spacious lava tube, followed by more difficult travel through a smaller, longer, and more rugged lava tube to an exit. Then, enjoy an easy return hike winding through shady forest and crusty lava formations.",roundtrip,2.8,South Cascades
Arch Rock,Mount Rainier Area -- Chinook Pass - Hwy 410,"12.0 miles, roundtrip",1400,5900,4.67,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash,"Arch Rock is not an arch, but a rocky point on the ridge to the west of Arch Rock Spring in the Norse Peak Wilderness Area. The trip to the rock involves a 5.4 mile hike mainly on the Pacific Crest Trail (PCT) along a forested ridge to Arch Rock Spring, followed by a 0.6 mile boot trail to Arch Rock. From the top, the expansive views of the South Cascades are dominated by Mount Rainier, 20 miles to the southwest.",roundtrip,12,Mount Rainier Area
Anacortes Community Forest Lands - Heart Lake,Puget Sound and Islands -- Whidbey Island,"2.86 miles, roundtrip",130,620,3.00,Dogs allowed on leash|Wildlife|Good for kids|Lakes|Fall foliage,"While there is not a trail all the way around the lake proper, it’s possible to do a loop hike around this lovely little lake just across the road from Mount Erie and Sugarloaf in the Anacortes Community Forest Lands. Formerly a state park, this area was transferred to the City of Anacortes in 2002, and now the trails that loop and bend around this little lake are accessible to residents and visitors without requiring a Discover pass.",roundtrip,2.86,Puget Sound and Islands
